make_id,make_name,model_id,model_name
474,Honda,12225,VT1100C2 (SHADOW SABRE)
474,Honda,12226,VT1100D2
474,Honda,12228,NRX1800 (VALKYRIE RUNE)
474,Honda,12230,VTX1800F1/VTX1800F
474,Honda,12231,VTX1800F3/VTX1800F
474,Honda,12232,VTX1800N/VTX1800 NEO RETRO
474,Honda,12233,VTX1800N1/VTX1800N
474,Honda,12234,VTX1800N3/VTX1800N
474,Honda,12235,VTX1800R/VTX1800 RETRO
474,Honda,12236,VTX1800S/VTX1800 SPOKE
474,Honda,12237,VTX1800T/VTX1800T TOURER
474,Honda,12238,VTX1800T1/VTX1800T
474,Honda,12288,CB599
474,Honda,12289,VFR800
474,Honda,12315,VFR800A
474,Honda,12316,VFR800AT
474,Honda,12318,CB900
474,Honda,12319,CB900 (919)
474,Honda,12323,VTR1000S (RC51)
474,Honda,12324,XL200R
474,Honda,12326,NT650J
474,Honda,12327,CR85
474,Honda,12349,CG150ESD
474,Honda,12350,XR200R
474,Honda,12353,NSR50MIN
474,Honda,12357,TRX700EX
474,Honda,12359,TRX350FE
474,Honda,12360,TRX350FM
474,Honda,12361,TRX350TE
474,Honda,12362,TRX350TM
474,Honda,12363,TRX400FA
474,Honda,12364,TRX400FG (FourTrax 400)
474,Honda,12367,TRX450FM
474,Honda,12371,TRX500 (FourTrax)
474,Honda,12372,TRX650FA (Rincon)
474,Honda,12373,TRX650FG (Rincon)
474,Honda,12375,NSS250A (REFLEX)
474,Honda,12376,PS250 (BIG RUCKUS)
474,Honda,12382,VT600CD (SHADOW VLX DELUXE)
474,Honda,12386,VT750 (A.C.E.)
474,Honda,12387,VT750 (Shadow Spirit 750)
474,Honda,12388,VT750 (Shadow Ace/Aero)
474,Honda,12389,VT1100C2D (SABRE)
474,Honda,12390,VTX1800C1/VTX1800C
474,Honda,12391,VTX1800FD
474,Honda,12392,VTX1800F2/VTX1800F
474,Honda,12393,VTX1800ND
474,Honda,12394,VTX1800N2/VTX1800N
474,Honda,12395,VTX1800R1/VTX1800R
474,Honda,12396,VTX1800R2/VTX1800R
474,Honda,12397,VTX1800R3/VTX1800R
474,Honda,12398,VTX1800TD
474,Honda,12399,VTX1800T2/VTX1800T
474,Honda,12403,VFR800AT (INTERCEPTOR ABS)
474,Honda,12408,TRX250 (SportTrax 250)
474,Honda,12409,TRX300EX (SportTrax 300)
474,Honda,12410,TRX400EX (SportTrax 400)
474,Honda,12411,TRX450ERB (SportTrax 450)
474,Honda,12412,TRX450ER (SportTrax 450)
474,Honda,12413,TRX250 (FourTrax 250)
474,Honda,12415,TRX400FA (FourTrax Rancher AT)
474,Honda,12416,TRX400FGA (FourTrax Rancher AT)
474,Honda,12418,CH80 (Elite)
474,Honda,12420,CN250 (Helix)
474,Honda,12421,NSS250AS (REFLEX SPORT)
474,Honda,12422,NSS250S (REFLEX SPORT)
474,Honda,12423,NSS250 (REFLEX)
474,Honda,12455,VT600C (VLX)
474,Honda,12457,VTX1300T
474,Honda,12458,VTX1800C2/VTX1800C
474,Honda,12459,VTX1800C3/VTX1800C
474,Honda,12460,VTX1800S1/VTX1800S
474,Honda,12461,VTX1800S2/VTX1800S
474,Honda,12462,VTX1800S3/VTX1800S
474,Honda,12470,VFR800 (SPORT TOURER)
474,Honda,12471,VFR800A (SPORT TOURER)
474,Honda,12472,CB900 (Hornet)
474,Honda,12474,RVT1000R (RC51)
474,Honda,12483,TRX90 (Fourtrax 90)
474,Honda,12485,TRX350FE (FourTrax Rancher)
474,Honda,12486,TRX350FM (FourTrax Rancher)
474,Honda,12487,TRX350TE (FourTrax Rancher)
474,Honda,12488,TRX350TM (FourTrax Rancher)
474,Honda,12493,VTR1000F (SUPERHAWK)
474,Honda,12499,NRX1800DA (VALKYRIE RUNE)
474,Honda,12500,NRX1800DB (VALKYRIE RUNE)
474,Honda,12501,NRX1800EA (VALKYRIE RUNE)
474,Honda,12502,NRX1800EB (VALKYRIE RUNE)
474,Honda,12503,VTX1800C1 (VTX)
474,Honda,12504,VTX1800C2 (VTX)
474,Honda,12505,VTX1800C3 (VTX)
474,Honda,12506,VTX1800F1 (VTX)
474,Honda,12507,VTX1800F2 (VTX)
474,Honda,12508,VTX1800N3 (VTX)
474,Honda,12509,VTX1800N2 (VTX)
474,Honda,12510,VTX1800N1 (VTX)
474,Honda,12511,VTX1800R3 (VTX)
474,Honda,12512,VTX1800R2 (VTX)
474,Honda,12513,VTX1800R1 (VTX)
474,Honda,12514,VTX1800S3 (VTX)
474,Honda,12515,VTX1800S2 (VTX)
474,Honda,12516,VTX1800S1 (VTX)
474,Honda,12520,VTX1800F3 (VTX)
474,Honda,12523,RC1000VS (RC213V-S)
474,Honda,12527,TRX90 (SportTrax 90)
474,Honda,12528,TRX250 (Recon)
474,Honda,12530,TRX400FW (FourTrax Foreman 400)
474,Honda,12531,TRX450FE (FourTrax Foreman)
474,Honda,12532,TRX450FM (FourTrax Foreman)
474,Honda,12534,TRX650FA (FourTrax Rincon)
474,Honda,12535,TRX650FGA (FourTrax Rincon)
474,Honda,12537,CRF1000
474,Honda,12539,VFR1200X
474,Honda,12540,VFR1200XD
474,Honda,12542,CHF50 (Metropolitan II)
474,Honda,12546,NRX1800BA (VALKYRIE RUNE)
474,Honda,12547,NRX1800BB (VALKYRIE RUNE)
474,Honda,12548,VTX1800C (VTX)
474,Honda,12552,TRX400FGA
474,Honda,12554,CB750 (Nighthawk 750)
474,Honda,12555,VF750C (MAGNA)
474,Honda,12564,CBR900/CBR954
474,Honda,12565,CBR900/CBR929
474,Honda,12568,VTX1800R (VTX)
474,Honda,12569,VTX1800S (VTX)
474,Honda,12570,GL1500 (Valkyrie)
474,Honda,12571,XR70R
474,Honda,12572,XR50
474,Honda,12573,CR80
474,Honda,12575,XR80R
474,Honda,12576,XR100R
474,Honda,12581,VFR800Fi (INTERCEPTOR)
474,Honda,12583,ST1100A
474,Honda,12584,VT1100C3 (SHADOW AERO)
474,Honda,12585,GL1500C (VALKYRIE)
474,Honda,12586,GL1500CD (VALKYRIE TOURER)
474,Honda,12587,GL1500CT (VALKYRIE TOURER)
474,Honda,12588,GL1500CF (VALKYRIE INTERSTATE)
474,Honda,12589,GL1500SE (GOLD WING SE)
474,Honda,12618,VT600CD2
474,Honda,12647,VT1100T (SHADOW ACE TOURER)
474,Honda,12651,CR500R
474,Honda,12654,VF750C2 (MAGNA)
474,Honda,12658,GL1500A (GOLD WING ASPENCADE)
474,Honda,12662,VT1100C2 (SHADOW ACE)
474,Honda,12663,Z50R
474,Honda,12664,PC800 (PACIFIC COAST)
474,Honda,12671,XR200
474,Honda,12709,GL1500i
474,Honda,12710,EZ90
474,Honda,12722,RVF750R (RC45)
474,Honda,12839,TRX400FG
474,Honda,13450,Cota 300RR
474,Honda,14008,Honda Utility Vehicle
474,Honda,14060,CBR600
474,Honda,14249,Clarity
474,Honda,14789,CH250
474,Honda,14790,SE50PI
474,Honda,14791,CH150
474,Honda,14792,SE50H
474,Honda,14793,SE50PH
474,Honda,14794,NQ50
474,Honda,14795,CMX450C
474,Honda,14796,VT700C (Shadow)
474,Honda,14797,VR700FII
474,Honda,14799,XL250R
474,Honda,14800,XL600R
474,Honda,14801,TLR200
474,Honda,14803,CN250
474,Honda,14804,NB50
474,Honda,14805,VF1000R
474,Honda,14806,VF500F
474,Honda,14807,CB450
474,Honda,14808,TG50
474,Honda,14809,CB700
474,Honda,14810,VF1100C
474,Honda,14811,VT500
474,Honda,14813,NB50M
474,Honda,14822,XL80
474,Honda,14823,XL100S
474,Honda,14825,VF1100S
474,Honda,14826,VF1000F
474,Honda,14827,XL350R
474,Honda,14828,NH80
474,Honda,14865,CB125
474,Honda,14866,VF700C (Magna)
474,Honda,14867,NN50MD
474,Honda,15210,XL125
474,Honda,15831,CMX300 (Rebel 300)
474,Honda,15835,CMX500 (Rebel500)
7351,Sundiro  Honda Motorcycle Co. Ltd,19706,A1
474,Honda,23307,NCW50/Metropolitan
474,Honda,24319,CRF1000 (Africa Twin)
474,Honda,24766,CBF300
474,Honda,25272,CRF450
474,Honda,25273,Z125 (Monkey)
474,Honda,25276,GL1800
474,Honda,25758,C125 (Super Cub)
474,Honda,26254,Pioneer
474,Honda,26689,CRF1100 (Africa Twin)
474,Honda,26826,VT800C
474,Honda,26829,CH125
474,Honda,26830,CM200
474,Honda,26831,CM250C
474,Honda,26833,CX500
474,Honda,26835,CM450
474,Honda,26836,VF500C
474,Honda,26837,XL500S
474,Honda,26839,XR500R
474,Honda,26840,CB750
474,Honda,26841,CB650
474,Honda,26842,VF750S
474,Honda,26847,CB550
474,Honda,26850,CX650
474,Honda,27165,Accord Crosstour
474,Honda,27254,SXS1000S4 (Talon 1000X-4)
474,Honda,27408,ADV150
474,Honda,27409,FIREBLADE
474,Honda,27546,CBX
474,Honda,27839,TRX500 (FourTrax Foreman Rubicon)
474,Honda,27889,Cota 300RR (MRT300)
474,Honda,27896,WW150/PCX150
474,Honda,27897,SXS1000M (Pioneer 1000)
474,Honda,27898,SXS700 (Pioneer 700)
474,Honda,27899,SXS500 (Pioneer 500)
474,Honda,27902,TRX420 (Rancher)
474,Honda,27906,TRX500 (Foreman)
474,Honda,27908,TRX500 (Foreman Rubicon)
474,Honda,27909,TRX500 (Rubicon)
474,Honda,27927,CB300
474,Honda,27928,CB1000
474,Honda,27942,Trail 125
474,Honda,28359,CMX1100A (REBEL1100)
474,Honda,28360,CMX1100D (REBEL1100 DCT)
474,Honda,28626,CRF300L
474,Honda,28850,Monkey
474,Honda,29417,Civic Si
474,Honda,29509,Navi
474,Honda,29550,CMX300
474,Honda,29619,PCX
474,Honda,29648,Ruckus
474,Honda,30282,SXS1000S2 (Talon 1000)
474,Honda,30372,TRX520
